# Document	Translator	Checher	Reviewer
00000001-A-1-X-4.txt	TR-6	CH-1	RV-1
00000002-A-1-X-8.txt	TR-1	CH-1	RV-1
00000020-A-2-X-8.txt	TR-1	CH-1	RV-1
00000027-A-3-X-8.txt	TR-1	CH-1	RV-1
00000032-A-4-X-7.txt	TR-1	CH-1	RV-1
00000046-A-4-X-8.txt	TR-1	CH-1	RV-1
00000069-B-1-X-8.txt	TR-2	CH-1	RV-2
00000074-B-1-X-9.txt	TR-2	CH-1	RV-2
00000082-B-2-X-8.txt	TR-2	CH-1	RV-2
00000088-B-2-X-9.txt	TR-2	CH-1	RV-2
00000103-B-3-X-8.txt	TR-2	CH-1	RV-2
00000109-B-3-X-9.txt	TR-2	CH-1	RV-2
00000117-B-4-X-8.txt	TR-2	CH-1	RV-2
00000124-B-4-X-9.txt	TR-2	CH-1	RV-2
00000140-B-5-X-8.txt	TR-2	CH-1	RV-2
00000150-C-1-X-8.txt	TR-3	CH-2	RV-2
00000151-C-10-X-19.txt	TR-3	CH-2	RV-2
00000155-C-10-X-8.txt	TR-3	CH-2	RV-2
00000164-C-2-X-8.txt	TR-3	CH-2	RV-2
00000189-C-3-X-8.txt	TR-3	CH-2	RV-2
00000198-C-4-X-14.txt	TR-4	CH-1	RV-1
00000229-C-4-X-19.txt	TR-4	CH-1	RV-1
00000239-C-4-X-8.txt	TR-4	CH-1	RV-1
00000248-C-5-X-14.txt	TR-4	CH-1	RV-1
00000258-C-5-X-17.txt	TR-4	CH-1	RV-1
00000284-C-5-X-8.txt	TR-4	CH-1	RV-1
00000302-C-6-X-14.txt	TR-4	CH-1	RV-1
00000310-C-6-X-19.txt	TR-4	CH-1	RV-1
00000335-C-6-X-8.txt	TR-4	CH-1	RV-1
00000340-C-7-X-18.txt	TR-7	CH-2	RV-2
00000341-C-7-X-19.txt	TR-7	CH-2	RV-2
00000364-C-7-X-8.txt	TR-5	CH-3	RV-2
00000366-C-8-X-13.txt	TR-5	CH-3	RV-2
00000373-C-8-X-19.txt	TR-5	CH-3	RV-2
00000387-C-8-X-8.txt	TR-5	CH-3	RV-2
00000399-C-9-X-8.txt	TR-5	CH-3	RV-2
00000407-B-5-X-11.txt	TR-2	CH-1	RV-2
00000450-B-5-X-13.txt	TR-2	CH-1	RV-2
00000465-B-1-X-13.txt	TR-2	CH-1	RV-2
00000467-A-4-X-13.txt	TR-6	CH-1	RV-1
00000470-B-1-X-19.txt	TR-2	CH-1	RV-2
00000474-C-4-X-13.txt	TR-4	CH-1	RV-1
00000493-C-5-X-19.txt	TR-4	CH-1	RV-1
00000496-C-1-X-19.txt	TR-7	CH-2	RV-2
00000497-C-2-X-19.txt	TR-5	CH-3	RV-2
00000500-C-10-X-13.txt	TR-7	CH-2	RV-2
